SessionName,Subject,Path,Strain,GeneticLine,Behavior,numCells,brainRegions,Project
fsub2_110223_sess3,fsub2,fsub2\fsub2_110223_sess3,c57b1/6,wild type,open field,60,VISp pSUB DG,SubiculumProject
fsub2_130223_sess4,fsub2,fsub2\fsub2_130223_sess4,c57b1/6,wild type,open field,54,SUBsp VISp DG,SubiculumProject
fsub2_140223_sess5,fsub2,fsub2\fsub2_140223_sess5,c57b1/6,wild type,open field,61,pSUB VISp DG,SubiculumProject
fsub2_150223_sess6,fsub2,fsub2\fsub2_150223_sess6,c57b1/6,wild type,open field,113,VISp SUBsp DG,SubiculumProject
fsub2_160223_sess7,fsub2,fsub2\fsub2_160223_sess7,c57b1/6,wild type,open field,111,SUBsp VISp DG,SubiculumProject
fsub2_170223_sess8,fsub2,fsub2\fsub2_170223_sess8,c57b1/6,wild type,open field,73,VISp pSUB DG,SubiculumProject
fsub2_210423_sess14,fsub2,fsub2\fsub2_210423_sess14,c57b1/6,wild type,open field,57,SUBsp VISp DG,SubiculumProject
fsub2_250423_sess15,fsub2,fsub2\fsub2_250423_sess15,c57b1/6,wild type,open field,54,SUBsp VISp DG,SubiculumProject
fsub2_210223_sess9,fsub2,fsub2\fsub2_210223_sess9,c57b1/6,wild type,linear track,66,VISp SUBsp DG,SubiculumProject
fsub1_160223_sess38,fsub1,fsub1\fsub1_160223_sess38,c57b1/6,wild type,lineartrack,32,pSUBsp VISp DG,SubiculumProject
fsub2_040523_sess19,fsub2,fsub2\fsub2_040523_sess19,c57b1/6,wild type,1m open field,44,SUBsp VISp DG,SubiculumProject
fsub2_260423_sess16,fsub2,fsub2\fsub2_260423_sess16,c57b1/6,wild type,open field,55,SUBsp VISp DG,SubiculumProject
fsub2_270423_sess17,fsub2,fsub2\fsub2_270423_sess17,c57b1/6,wild type,open field,53,SUBsp VISp DG,SubiculumProject
fsub2_280423_sess18,fsub2,fsub2\fsub2_280423_sess18,c57b1/6,wild type,open field,63,SUBsp VISp DG,SubiculumProject
fsub2_050523_sess20,fsub2,fsub2\fsub2_050523_sess20,c57b1/6,wild type,open field 1m open field open field,40,SUBsp DG VISp,SubiculumProject
fsub2_090523_sess21,fsub2,fsub2\fsub2_090523_sess21,c57b1/6,wild type,open field,52,SUBsp VISp DG,SubiculumProject
fsub2_220223_sess10,fsub2,fsub2\fsub2_220223_sess10,c57b1/6,wild type,linear track,75,VISp SUBsp DG,SubiculumProject
fsub2_230223_sess11,fsub2,fsub2\fsub2_230223_sess11,c57b1/6,wild type,linear track,50,VISp SUBsp DG,SubiculumProject
fsub2_200423_sess13,fsub2,fsub2\fsub2_200423_sess13,c57b1/6,wild type,open field,31,VISp SUBsp DG,SubiculumProject
fsub2_100523_sess22,fsub2,fsub2\fsub2_100523_sess22,c57b1/6,wild type,open field,51,SUBsp VISp DG,SubiculumProject
fsub2_110523_sess23,fsub2,fsub2\fsub2_110523_sess23,c57b1/6,wild type,open field 1m open field open field,43,SUBsp VISp DG,SubiculumProject
fsub2_190423_sess12,fsub2,fsub2\fsub2_190423_sess12,c57b1/6,wild type,open field,80,SUBsp VISp DG,SubiculumProject
